@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@fentychuck,00:50 - 22 mars 2013,La fin des blagues #Carambar RIP,
@CamBouss,00:48 - 22 mars 2013,#Carambar sans ses blagues ce n'est plus Carambar ! #Souvenirpic.twitter.com/B8e74BMzeV,
@SoDeroulede,00:47 - 22 mars 2013,Chapeau bas aux marketeurs #Carambar qui à peu de frais ont réussi à créer le buzz médiatique du jour. Leur meilleure blague ever...,
@jeremyimbert,00:46 - 22 mars 2013,Imaginez le malaise des futurs jeunes quand ils feront des bides ils auront plus l'excuse d'avoir trouvé la blague dans un #Carambar ...,
@CharlesStif,00:46 - 22 mars 2013,C'est la fin des blagues #carambar :´(,
@fdhennin,00:45 - 22 mars 2013,Aujourd'hui  y a ceux qui ne connaissent pas les #raider. Demain ceux qui ne connaîtront pas les blagues #carambar.,
@jeremyimbert,00:45 - 22 mars 2013,La vraie info reste la fin des blagues #Carambar ça c'est vraiment triste tout fout le camp ...,
@ChamseddineNour,00:45 - 22 mars 2013,@LOrientLeJour: #Carambar arrête les blagues... http://olj.me/806589    right in the childhood!,
@sebtik,00:44 - 22 mars 2013,Carambar est une marque responsable Best blagouze #carambar ever :D #sucre #colorants etc,
@sand_54,00:43 - 22 mars 2013,Blagues vintage. Bientôt ces emballages vaudront de l'or ! #placement #carambar http://instagram.com/p/XJtvpGRtlL/ ,
@hduvialard,00:42 - 22 mars 2013,‏@LOrientLeJour #Carambar arrête les blagues... http://olj.me/806589  Un bastion de la Francophonie qui s'effondre,
@CotCotCot_ed,00:41 - 22 mars 2013,Triste ! Ras-le-bol du tout éducatif RT @styles_lesoir Fini les blagues #Carambar place aux jeux éducatifs http://www.lesoir.be/node/212267 ,
@FifinFlo,00:41 - 22 mars 2013,@LudericD remplacé par des jeux d'orthographe #carambar,
@hduvialard,00:41 - 22 mars 2013,‏Le prestige de la france en prend un coup ;-) @LOrientLeJour #Carambar arrête les blagues... http://olj.me/806589 ,
@blogcpolitic,00:41 - 22 mars 2013,Avec l'ump impossible! #carambar RT @jlolo63: @blogcpolitic ils ont épuisé le stock des blagues,
@211Fernandes,00:40 - 22 mars 2013,c'est fini les blagues sur les Carembars maintenant c'est de leçons d'orthographes ! c'est nul  #carambar,
@MarionCbt,00:39 - 22 mars 2013,Plus de blagues #carambar??? #nonmaisalloquoi,
@JChGuilmart,00:38 - 22 mars 2013,l'accès à l'humour par la lecture dès le primaire disparait : CARAMBAR arrête ses blagues...#carambar #sniff #toutseperd,
@XikiOriane,00:38 - 22 mars 2013,Fin des blagues #Carambar http://bit.ly/Yvujve ,
@JazFerolex,00:37 - 22 mars 2013,Rien ne va plus dans notre économie #carambar débarque ses humoristes... Ou vais je trouver mes vannes ? :s,
@sh06000,00:36 - 22 mars 2013,#enfants #changements majeurs #RythmeScolaire et #Carambar,
@Jeffrebischung,00:36 - 22 mars 2013,Le #Carambar entre le #Bettencourt et le #Sarkozy dans les Tendances du matin.,
@Fa_cius,00:35 - 22 mars 2013,#Carambar annonce la fin de ses blagues #SadNews ,
@bonardet,00:32 - 22 mars 2013,RT @lemondefr : #Carambar arrête ses blagues triste nouvelle... j espère que kinder garde ses surprises... http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@Maikeul,00:32 - 22 mars 2013,Youpie je vais enfin maigrir ... tous ces #carambar mangés depuis 20 ans uniquement pour trouver des vannes pour mes émissions ...,
@Mymykoira,00:31 - 22 mars 2013,1ère news de la journée @f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@LOrientLeJour,00:31 - 22 mars 2013,#Carambar arrête les blagues... http://olj.me/806589 ,
@DidildeSaintCyr,00:31 - 22 mars 2013,Supprimer les blagues #Carambar pendant le #Carême... alors que c'était ce qui restait...,
@hduvialard,00:31 - 22 mars 2013,#Carambar arrête les blagues : une parie de notre enfance disparaît dans l'esprit de sérieux. #EspritDuTemps,
@LudericD,00:30 - 22 mars 2013,Une honte #carambar arrête les blagues sur les papiers!,
@Aur3Lianna,00:30 - 22 mars 2013,NON à la fin de nos #blagues préférées sur les #papiers de #carambar. Oui au #droit à notre instant #humour ce monde de bruts!,
@cedricmoretau,00:29 - 22 mars 2013,RT @lemondefr : #Carambar arrête ses #blagues. Ce n'était déjà pas drôle mais là c'est pire.. http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@Peter_Letogne,00:29 - 22 mars 2013,Quoi? Ils arretent les blagues carambar :O mais un carambar sans blague c'est comme une voiture sans ses roues ! #carambar #regret,
@levraidoudouce,00:29 - 22 mars 2013,http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 … Boycott! #carambar,
@Andecave,00:28 - 22 mars 2013,NB: il n'y a à priori aucun rapport entre les hashtag #Carambar et #Sarkozy. Quoique...,
@alexa1235,00:28 - 22 mars 2013,RT @EmLemoine L'auteur des blagues Carambar était payé 70€ la blague #Europe1 #carambar,
@sara_zcr,00:28 - 22 mars 2013,Non mais allô quoi t'es un #Carambar et t'as pas de blagues.,
@EmmanuelDaoud,00:28 - 22 mars 2013,#Carambar une blague jamais publiée d'après une amie.quel est le héros préféré des plombiers?RobinetBatmanOuarf ouarf,
@tuxpanik,00:27 - 22 mars 2013,La fin d'un mythe >> http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #carambar,
@lilidanseuse,00:27 - 22 mars 2013,Fin des #blagues #carambar!!!!Bravo pour le coup de pub! #marketing,
@joshta92,00:26 - 22 mars 2013,Putain ils vont arrêter les blagues #carambar,
@Philippephildar,00:26 - 22 mars 2013,#Carambar veut supprimer les blagues et les remplacer par des quizs de maths et de français.,
@6smik,00:26 - 22 mars 2013,C est la fin des blagues dans les #Carambar :(,
@EmmanuelDaoud,00:25 - 22 mars 2013,#Carambar une dernière jamais écrite d'après une amie. Quel est le héros préféré des plombiers,
@EntreTerreMre,00:25 - 22 mars 2013,Honnêtement ça ne me fais rien que #Carambar abandonne ses blagues. Je n'en mange plus Je n'ai plus de plombage à faire sauter !,
@ProfNuton,00:25 - 22 mars 2013,ben zut pour #UMP la mise en examen de #sarkozy n'est pas une mauvaise blague qu'abandonne #carambar ...,
@E2Bdx,00:25 - 22 mars 2013,Face à une concurrence déloyale de nos politiques #Carambar décide de la suppression des blagues.,
@gene_delporte,00:24 - 22 mars 2013,NON à la fin de nos #blagues préférées sur les #papiers de #carambar. Oui au #droit à notre instant #humour ce monde de bruts!,
@laurentmartin,00:24 - 22 mars 2013,Florilège des bonnes… et des moins bonnes http://www.leparisien.fr/espace-premium/air-du-temps/florilege-des-bonnes-et-des-moins-bonnes-22-03-2013-2660243.php … via @le_Parisien #carambar #MDR,
@EmmanuelDaoud,00:23 - 22 mars 2013,#Carambar que dit un vitrier à son fils pour qu'il reste sage?tiens-toi à carreau et t'auras une glace.,
@EmmanuelDaoud,00:22 - 22 mars 2013,#Carambar Que dit un oignon qui s'est fait mal? Ail,
@jayrhum45,00:20 - 22 mars 2013,Ce matin j'ai le caramel mou. Carambar annonce la fin des blagues dans ces carambars. C'est nul! VDM  #Carambar,
@YsmaelMonveau,00:20 - 22 mars 2013,Aujourd'hui c'est la Journée Mondiale de lol. D'où le buzz #Carambar,
@sebGrr,00:20 - 22 mars 2013,Non mais allo quoi ?? T'es un #Carambar et t'as pas de blagues !!! http://www.huffingtonpost.fr/mobileweb/2013/03/21/la-fin-des-blagues-carambar-15-avril_n_2924515.html …,
@TrucsdeNana,00:18 - 22 mars 2013,À partir du 15 avril plus de blagues sur les Carambar mais des questions plus sérieuses... Nous sommes en deuil. #carambar,
@recapvideo,00:18 - 22 mars 2013,NOOOOOOONNNNNNNNNNLes @BlaguesCarambar c’est fini …. #Carambar change ses blagues en question cultures gé…. http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@rmncrlr,00:18 - 22 mars 2013,NOOOOOOONNNNNNNNNNLes @BlaguesCarambar c’est fini …. #Carambar change ses blagues en question cultures gé…. http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@AdeStAignan,00:18 - 22 mars 2013,SCOOP : Après la fin des blagues Carambar Kinder Surprise annonce qu'il va remplacer les jouets par des compas et des rapporteurs #carambar,
@crouxgrave,00:17 - 22 mars 2013,#Carambar : de la culture de la blague à la culture générale http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ … via @romainsantiago,
@Thalack_,00:17 - 22 mars 2013,@D4V1D_0FF #Justice : #Bettencourt donnait des #Carambar au #gentil #Sarkozy ancien pdt de la #République#LesPhrasesQuiFontPeur #BestOf,
@lawcorn,00:16 - 22 mars 2013,Adieu les blagues #Carambar une page se tournera le 15 avril...,
@Geooorges,00:16 - 22 mars 2013,Venez! On dirait on cherche tous des blagues #Carambar -_-',
@StephaneManet,00:14 - 22 mars 2013,fin des blagues #carambar et Pujadas court toujours,
@RicherMatthieu,00:14 - 22 mars 2013,Les blagues #Carambar disparaissent au profit d'exercices ludo-éducatifs.,
@Pi_Jiste,00:12 - 22 mars 2013,À partir du 15 avril finies les blagues cultissimes de #Carambar. Elles seront remplacées par des quizz de culture G.,
@EmmanuelDaoud,00:12 - 22 mars 2013,#Carambar quel est l'animal le plus heureux? Le hibou parce que sa femme est chouette,
@EmmanuelDaoud,00:10 - 22 mars 2013,#Carambar pourquoi le foot c'est rigolo?Parce que Thierry Henry ;-),
@Bonstre,00:10 - 22 mars 2013,Carambar stop les blagues c'est la fin du Stand up ! #Carambar,
@AyBIERRE,00:09 - 22 mars 2013,Ne vous inquiétez pas il y aura toujours @AyBIERRE pour les blagues pourries… #Carambar,
@EmmanuelDaoud,00:09 - 22 mars 2013,#Carambar  un homme entre dans un café  et plouf,
@dibatch,00:09 - 22 mars 2013,#Carambar arrête ses blagues pourries. Au moins 1 millions de prétendants sur Twitter pour le remplacer,
@sophiejullien,00:09 - 22 mars 2013,Ce n'est certes pas la dominante du jour mais c'est l'insolite #AFP du vendredi : plus de blagues #Carambar... http://bit.ly/Y2R2Cq ,
@EmmanuelDaoud,00:08 - 22 mars 2013,Horrible on ne rira plus avec les #Carambar à partir du 15 avril. Les blagues seront supprimées au profit d'exercices  ludo-éducatifs,
@pbriday,00:08 - 22 mars 2013,#Guaino liquide son stock de blagues #Carambar “@Europe1: Guaino : Quand un juge se croit tout permis on abime la République. #Sarkozy,
@PabloFarga,00:07 - 22 mars 2013,Pourquoi #Sarkozy déteste #Bordeaux ? Parce que tout le monde y est #Gentil #DernièreBlague #Carambar #ump,
@d4v1d_0ff,00:06 - 22 mars 2013,Les tendances qui se suivent et me font bien rire #Bettencourt #Sarkozy #Carambar pic.twitter.com/6JpyPceByA,
@sarahschiffmann,00:06 - 22 mars 2013,Les blagues carambar s'arrêtent. Tristesse trahison ! Elles me manquent déjà. #carambar,
@AudreyDZD,00:05 - 22 mars 2013,Que font deux brosses à dents un 14 juillet ? Un feu dentifrice... Hommage aux blagues #Carambar qui s'arrêtent !!,
@GGroslier,00:05 - 22 mars 2013,La fin des blagues #Carambar !,
@Phil_Cotebask,00:05 - 22 mars 2013,Ok mais que ceux de @nadine__morano //RT @labullerose: Je propose que les blagues soient remplacées par des tweets. #Carambar,
@AnnabelLvrt,00:04 - 22 mars 2013,Comment on va faire dans nos soirées toto sans nos blagues #carambar ?,
@simonBruneau1,00:04 - 22 mars 2013,@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@clara_bma,00:03 - 22 mars 2013,Ok les blagues carambar étaient pas a mourir de rire mais bon c'est pas une raison pour les supprimées! #carambar,
@busylvain,00:03 - 22 mars 2013,+1 @labullerose: Je propose que les blagues soient remplacées par des tweets. #Carambar,
@JMLequime,00:03 - 22 mars 2013,#ALLO ALLO.... tu manges un #Carambar et t'as pas de blague???????? Non mais allo ; quoi !!!!! pic.twitter.com/uGFXCYydea,
@ohsojr,00:02 - 22 mars 2013,Comment ça ils arrêtent les blagues #carambar ?,
@E2Bdx,00:00 - 22 mars 2013,Baisse du prix du gaz annoncé pour le 1er avril et on nous apprend que les blagues #carambar s'est fini...A n'y rien comprendre.,
@PelouasPhilippe,00:00 - 22 mars 2013,Petite blague du matin RT “@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ”pic.twitter.com/8jk309PkaK,
@NicolasRouillot,00:00 - 22 mars 2013,Je parie que l'entreprise reculera une fois qu'elle aura bien profité du buzz. #Carambar #BlagueDuJour http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@LoloCarotte,23:59 - 21 mars 2013,#Carambar : c'est une blague ??,
@B_Toad,23:59 - 21 mars 2013,Alors ca y est les blagues Carambar c'est finit... Une page de l'Histoire mondiale qui se tourne... #Carambar,
@Dkbl_,23:59 - 21 mars 2013,On n'a pas beaucoup entendu @didierporte sur son ami #cahuzac au-delà de 3 gentilles blagues #Carambar. La vieillesse. Ou le militantisme,
@Vickykstelano,23:59 - 21 mars 2013,#Carambar arrête ses blagues.. :0 bon certes elles étaient un peu pourries ms ont avaient tjr tendance a sourire ! :/ #Enfance,
@MDessinateur,23:57 - 21 mars 2013,#Carambar arrête ses blagues. enfin une blague sa fait rire hors dans les #Carambar c'était pas le cas.,
@SharleenThefrog,23:56 - 21 mars 2013,#carambar supprime ses blagues et les remplace par des quizs et des énigmes mathématiques... tout fout le camp mon enfance s'écroule...,
@labullerose,23:55 - 21 mars 2013,Je propose que les blagues soient remplacées par des tweets. #Carambar,
@ablivio,23:55 - 21 mars 2013,Fin des blagues #Carambar. Dis monsieur #Cadbury tu ne pourrais pas avoir un peu plus d'humour à deux balles ? http://www.ina.fr/video/PUB3216553014 …,
@Mamandanslezef,23:54 - 21 mars 2013,A partir du 15 avril plus de blagues dans les #carambar au profit de pedagogie. 2013 l'année ou on ne plaisante plus:-\,
@AdemTurkish,23:53 - 21 mars 2013,#carambar arrête les blague ? -Beh enfin pck c'était vraiment de la merde du genre tu connais la blague du nombril ! -Non Bril Ahahah :D,
@agnes_ratsim,23:52 - 21 mars 2013,@michelcymes #Carambar,
@quentinpre,23:51 - 21 mars 2013,NAAAAAAAOOOOOOOOOOOOOONNNNN #Carambar supprime les blagues dans ses friandises que fait la justice?,
@agathehubert,23:50 - 21 mars 2013,La fin des blagues #carambar remplacées par des quiz ludo-éducatifs #finduneepoque #nouvelleere,
@dmcqtv,23:50 - 21 mars 2013,Carambar : Avant on disait Rhooo c'est nul. Maintenant on dira Rhooo t'es nul !! http://ick.li/QnQ9qG  cc @lemondefr #Carambar,
@NMeriaux,23:50 - 21 mars 2013,Vers la fin des blagues #carambar,
@MaxLagarrigue,23:48 - 21 mars 2013,Info ou intox? La marque #Carambar annonce la fin de ses célèbres blagues au dos de ses caramels... http://lci.tf1.fr/insolite/les-blagues-carambar-vont-disparaitre-est-ce-bien-serieux-7889499.html …,
@flovck,23:48 - 21 mars 2013,Collector !!! #carambar avec blague #enjoy http://instagram.com/p/XJnm1nsM3U/ ,
@Florian_Morvan,23:47 - 21 mars 2013,@itele  #carambar à jusqu'au 15/04 pour mettre une nouvelle blague : qui est mis en examen pour abus de faiblesse ? @sarkozy #acharnement,
@frinnock,23:44 - 21 mars 2013,Fin des blagues Carambar ! mais que va faire @benoitlebreau ?  #carambar #lvvt,
@savallesylvain1,23:44 - 21 mars 2013,c est terrible je viens d entendre qu il n y aura plus de blagues carambar. L humour est en fuite.#Carambar,
@schmittcedric85,23:44 - 21 mars 2013,@hanounalematin ma matinée est gâcher un monde sans blague #Carambar c'est comme un sandwich jambon beurre sans jambon,
@JCAMBONIE,23:43 - 21 mars 2013,“@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ” Même si elles n'étaient pas toujours drôle : dommage !,
@karimaou,23:43 - 21 mars 2013,#Carambar arrête ses blagues et #Sarkozy est mis en examen. Quelle est la nouvelle qui me réjouit ?,
@ValThomas5,23:43 - 21 mars 2013,Carambar !!!!!!! “@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ”,
@its_me_nunila,23:42 - 21 mars 2013,Triste nouvelle du jour les blagues #Carambar vont disparaître #rip,
@MarieM4s,23:42 - 21 mars 2013,Les blagues #Carambar c'est fini #cestaffreux,
@lesubversif,23:42 - 21 mars 2013,@lnzelany humoriste #Carambar sur #E1matin et bientôt au point virgule :-),
@prof_groucho,23:42 - 21 mars 2013,#carambar que fait #Montebourg ?? il faut nationaliser,
@FloRun_,23:41 - 21 mars 2013,Moi je veux encore toujours et encore les #BlaguesCarambar#Carambar,
@SarahBlackerty,23:41 - 21 mars 2013,Ya #Carambar en TT et mtn j'ai faim pffftt,
@maudcharaf,23:41 - 21 mars 2013,Ce matin tu as le choix entre #Sarkozy #insee #hbdTwitter et surtout la nouvelle qui va ruiner ma journée: #carambar arrête ses blagues...,
@EmLemoine,23:41 - 21 mars 2013,Pas de morts pas de politique pas de sujets graves telle était la consigne donnée aux auteurs des blagues Carambar #Europe1 #Carambar,
@MA2TBE2L,23:40 - 21 mars 2013,@michelcymes hommage à #carambar ?,
@_SuperCharize,23:40 - 21 mars 2013,Je crois que arrêter les blagues pour mettre des problèmes de math à la place c'est la meilleure blague de #Carambar,
@isatheone,23:39 - 21 mars 2013,ça craint! “@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ”,
@kifkif0013,23:38 - 21 mars 2013,Roooo non le 15 avril plus de blagues dans les #carambar,
@pierrelawless,23:35 - 21 mars 2013,#Carambar arrête ses blagues. Et proposera des problèmes mathématiques à la place. C'est une blague ?,
@ThomasGz_,23:35 - 21 mars 2013,#BreakingNews : #Carambar va arrêter de mettre des blagues et va les remplacer par des questions 'éducatives' façon Trivial Pursuit,
@davidceccon,23:34 - 21 mars 2013,#Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@ClaraMornat,23:34 - 21 mars 2013,Au pire on s'en branle qu'il n'y ait plus de blagues ds les #carambar parce que quand il y en avaient on disait tous qu'elles étaient nazes,
@guepier92,23:34 - 21 mars 2013,La nouvelle blague #Carambar ? RT @EchoMontrouge: Pas ouvert mais déjà en panne ! http://bit.ly/WQzGsL  pic.twitter.com/TAB2YKzo5o,
@opinionz,23:33 - 21 mars 2013,RT “@styles_lesoir: Fini les blagues #Carambar place aux jeux éducatifs http://www.lesoir.be/node/212267 ” #çaperdtoutsonintérêt #tristesse,
@MatthieuLenoir,23:32 - 21 mars 2013,#Carambar arrête ses blagues (via @big_browser)  http://bit.ly/Y2gIip  et #Sarkozy mis en examen. Tout va à vau-l'eau les enfants !,
@EmLemoine,23:32 - 21 mars 2013,L'auteur des blagues Carambar était payé 70€ la blague #Europe1 #carambar,
@B3n_M1nd,23:32 - 21 mars 2013,La suppression des blagues #Carambar est une hérésie ! :'(,
@RienARedire,23:31 - 21 mars 2013,Première mauvaise nouvelle de la journée @f_inter: #Carambar http://tinyurl.com/clvk99y ,
@cd_land,23:31 - 21 mars 2013,#Coupdegueule NON à la fin des blagues #carambar,
@Pierre_Gusz,23:30 - 21 mars 2013,La fin d'une époque... “@f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ”,
@E_Dussart,23:30 - 21 mars 2013,@laurentbazin bientôt aux #grosses têtes. Qu'est qu 'un indien ds l'eau? Un sioux-marin!  Bravo!  #carambar,
@rodericparis,23:29 - 21 mars 2013,Les blagues #carambar c'est fini.,
@kate_mandou,23:28 - 21 mars 2013,Trop de concurrence sur le segment Boutin Morano Estrosi RT @f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@JackyAnatomie,23:28 - 21 mars 2013,Rejoignez la page FB de Dure lutte pour la sauvegarde de la blague #Carambar...,
@Renvoiaux22,23:26 - 21 mars 2013,Toto licencié... RT @f_inter: #Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@TPMTofficiel,23:26 - 21 mars 2013,@hanounalematin Sans blagues #Carambar . Que pourront bien faire les gens en mangeant leur bonbon maintenant.,
@YannCBienMoi,23:26 - 21 mars 2013,#Carambar arrête les blague et n'attend même pas le 1er avril pour l'annoncer... #consternation http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@franceinter,23:25 - 21 mars 2013,#Carambar abandonne nos premiers humours http://tinyurl.com/clvk99y ,
@pcouzon,23:25 - 21 mars 2013,Je suis très étonné du nombre de tweetos qui achètent des #Carambar pour les blagues....,
@jayjay97two,23:22 - 21 mars 2013,fini les blagues #Carambar suis déçu……. :-(,
@MsHighHighHeels,23:22 - 21 mars 2013,C'est la fin d'une ère: #Carambar arrête ses blagues.,
@lo_cvl,23:22 - 21 mars 2013,Rien ne va plus: #Carambar veut arrêter ses blagues et les remplacer par des exercices éducatifs. ,
@v23id,23:22 - 21 mars 2013,Encore un coup des Anglais contre la monnaie unique : la disparition de la blague à deux balles #carambar,
@Egenye,23:21 - 21 mars 2013,Le 15/04 y'aura plus de blagues #carambar ???? Mais ou va le monde ???,
@leonemo1,23:20 - 21 mars 2013,Un concours de blagues ou de mauvais jeux de mots #carambar ? #cheval (findus) dire à ma mère.,
@lim_remi,23:18 - 21 mars 2013,#FF @amandine_begot qui raconte des blagues #carambar à l'antenne! :),
@PaulinePioche,23:17 - 21 mars 2013,Merci @a2linefrancois  qui semble aussi très touchée par la suppression des blagues #Carambar et qui suit de près le dossier.,
@EricParis,23:17 - 21 mars 2013,-Que dit un oignon quand il se cogne?-Aïe!cc @MGrossiord @Bruce_Toussaint #Carambar,
@semioblog,23:16 - 21 mars 2013,C 1 blague ?“@a2linefrancois: A 7h30 sur #RTL nous avons retrouvé l'auteur des blagues #Carambar ! Il était payé 70 euros la blague!!!!”,
@Laurent_acti,23:16 - 21 mars 2013,#carambar abanbonne les blagues pour des quizz :( #toutfoutlecamp,
@Yves_POEY,23:16 - 21 mars 2013,Dernière blague #Carambar : qui sera le prochain politique mis en examen ?,
@didiersery,23:15 - 21 mars 2013,Triste nouvelle apprise ce matin #Carambar annonce l'arrêt de ses blagues http://via.me/-apgp1vo ,
@celintwit,23:15 - 21 mars 2013,“@franckconfino: L'annonce de l'arrêt des blagues #Carambar c'est un buzz réussi pour le 1er avril non ?” Bien vu!,
@Hobiecat321,23:15 - 21 mars 2013,2 blagues #Carambar au compteur de @MGrossiord  record à battre pour @lnzelany ! :)) #Europe1,
@lebelge,23:15 - 21 mars 2013,Bonjour à tous !!! Le drame du jour : fini les blagues #carambar !!,
@Jack_Hawk78,23:13 - 21 mars 2013,Scoop. @MGrossiord n'est pas journaliste. Mais rédacteur officiel des blagues #Carambar,
@TouteLinfo_Live,23:09 - 21 mars 2013,Qui est la mère de Titeuf ? Titpoule ! (Œuf / poule) #Carambar (les dernières blagues et devinettes),
@cedtoine,23:08 - 21 mars 2013,Dommage pour les blagues #Carambar... mais pas de souci je continue les miennes ! http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@PaulinePioche,23:07 - 21 mars 2013,Une pétition contre la suppression des blagues #Carambar:  http://www.petitionpublique.fr/PeticaoVer.aspx?pi=P2013N38042 …,
@a2linefrancois,23:06 - 21 mars 2013,A 7h30 sur #RTL nous avons retrouvé l'auteur des blagues #Carambar ! Il était payé 70 euros la blague!!!!,
@Senechhh,23:05 - 21 mars 2013,J'écoutais la radio y vienne de dire qu'il n'y aura plus de blague dans les carambar #bad #carambar #blague #bidon #maiscool,
@JoanneGdlr,23:05 - 21 mars 2013,Les blagues Carambar vont disparaître pauvres génération de gamins qui aura le droit à des jeux éducatifs à la place #Carambar,
@EBonnetMaes,23:04 - 21 mars 2013,#Carambar arrête ses #blagues - RTL.fr http://www.rtl.fr/actualites/info/alimentation/article/carambar-arrete-ses-blagues-7759731252 …,
@myriamlefort,23:00 - 21 mars 2013,#Carambar sans blague c'est plus du Carambar RT@cschmidtafp: Carambar arrête ses blagues et ce n'est pas drôle http://bit.ly/Y2R2Cp  #AFP,
@DunandMichael,22:59 - 21 mars 2013,Fin des blagues #carambar nan mais c'est une blague ou quoi??,
@PaulinePioche,22:57 - 21 mars 2013,La fin des blagues #Carambar. J'ai du mal à accuser le coup. On leurs rend hommage sur @CherieFM24,
@mimi_potter,22:57 - 21 mars 2013,T'es un #Carambar et t'as pas de blague nan mais allo quoi !? #carambar  feat #nabilla,
@Kristofleroy,22:55 - 21 mars 2013,Mon niveau d'humour risque d'en prendre un sacré coup avec la fin des blagues Carambar ! #CQFD #Carambar #HumourDeMerde #Mddr #Ptdrrr,
@Saucequinelle,22:53 - 21 mars 2013,La fin des #blagues #carambar la fin d'une époque!,
@TeamPDLP,22:51 - 21 mars 2013,Bientôt la fin des blagues #Carambar! C'est sûr ça va nous manquer: Où les supers héros vont-ils faire leurs courses? Au Super Marché !,
@petitpeuleux,22:48 - 21 mars 2013,C'est la fin des blagues #Carambar #choque Remplacées par des questions éducatives #moinsdrôle #Carambar goût #Apéricubes ?,
@Goethe59,22:48 - 21 mars 2013,@monsieurhug tu as entendu ? @BouchardWendy a parlé de séisme ! Elle est des noooooootres !!!!! #Carambar,
@nauseam_,22:46 - 21 mars 2013,Les blagues #Carambar vont être arrêtées.Tout un monde qui s'écroule...,
@TouteLinfo_Live,22:45 - 21 mars 2013,Quel est le comble pour un avion ? D'avoir un antivol ! #Carambar (les dernières blagues),
@flovck,22:43 - 21 mars 2013,Donc #carambar remplace ses blagues par des questions de culture gé ! #bonneblague #soyonsérieux #Enjoy,
@lolorichard,22:43 - 21 mars 2013,“@scocosse: Et oui finis les blagues #Carambar. Elles font place à des exercices ludo-éducatifs dès le 15 avril” c est triste,
@mathieublache,22:43 - 21 mars 2013,c la fin des blagues #carambar a la place c des jeux educatifs,
@iTweakeurCydia,22:42 - 21 mars 2013,Les blague Carambar c’est terminer ! :(#Carambar #Fin,
@RutabagaForever,22:41 - 21 mars 2013,#Sarkozy et #carambar même combat : toutes les bonnes blagues ont déjà été faites,
@OrcusDraco,22:39 - 21 mars 2013,Fini de rigoler ! #carambar http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@Jossie_Jaalouk,22:27 - 21 mars 2013,#Carambar perd son sens de l'humour: les blagues qui ont fait la renommée de la marque seront remplacées par des exercices «ludo-éducatifs».,
@__AsfA___,22:23 - 21 mars 2013,Abracarambar que les blagues reviennent! #Carambar,
@__AsfA___,22:22 - 21 mars 2013,#Carambar remplace ses plaisanteries par des questions de culture générale. Ex: quel président est mis en examen un an après son départ?,
@Trebeb76,22:19 - 21 mars 2013,Blague #carambar c'est fini !!,
@bourdinandco,22:18 - 21 mars 2013,Très triste ce que nous annonce ce matin Hugo Perrier:c'est la fin des blagues #Carambar... @Bourdinandco @RMCinfo https://soundcloud.com/bourdinandco/hugo-perrier-carambar?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter&utm_content=https://soundcloud.com/bourdinandco/hugo-perrier-carambar …,
@oursenfurie,22:13 - 21 mars 2013,Blague #Carambar en direct sur @itele . #epicfail,
@GiroltXavier,22:06 - 21 mars 2013,Les blagues carambar disparaissent et sont remplacés par des exercices d'orthographe et de grammaire... VDM #Carambar,
@mlss_smn,21:58 - 21 mars 2013,Nan mais c'est quoi ce nouveau délire de vouloir mettre des jeux éducatifs à la place des blagues ? #Carambar,
